code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
H106;part_et_coop_institutions_co_2;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Collèges – Estimation de la population touchée;numérique;annuel
H107;part_et_coop_institutions_lyce;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Lycées;oui/non;annuel
H108;part_et_coop_institutions_ly_1;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Lycées – Nombre de classes;numérique;annuel
H109;part_et_coop_institutions_ly_2;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Lycées – Estimation de la population touchée;numérique;annuel
H110;part_et_coop_institutions_supe;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Supérieur;oui/non;annuel
H111;part_et_coop_institutions_su_1;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Supérieur – Estimation de la population touchée;numérique;annuel
H112;part_et_coop_institutions_hopi;Partenariat et coopération – Institutions – Hôpitaux;oui/non;annuel
H113;part_et_coop_institutions_ho_1;Partenariat et coopération – Institutions – Hôpitaux – Estimation de la population touchée;numérique;annuel
H114;part_et_coop_institutions_pris;Partenariat et coopération – Institutions – Prisons, Centres de semi-liberté, protection judiciaire de la jeunesse;oui/non;annuel
H115;part_et_coop_institutions_pr_1;Partenariat et coopération – Institutions – Prisons, Centres de semi-liberté, protection judiciaire de la jeunesse – estimation de la population touchée;numérique;annuel
H116;part_et_coop_institutions_mais;Partenariat et coopération – Institutions – Maisons de retraite;oui/non;annuel
H117;part_et_coop_institutions_ma_1;Partenariat et coopération – Institutions – Maisons de retraite – Estimation de la population touchée;numérique;annuel
H118;part_et_coop_institutions_cent;Partenariat et coopération – Institutions – Centres sociaux;oui/non;annuel
H119;part_et_coop_institutions_ce_1;Partenariat et coopération – Institutions – Centres sociaux – Estimation de la population touchée;numérique;annuel
H120;part_et_coop_institutions_ce_2;Partenariat et coopération – Institutions – Centres de loisirs;oui/non;annuel
H121;part_et_coop_institutions_ce_3;Partenariat et coopération – Institutions – Centres de loisirs – Estimation de la population touchée;numérique;annuel
H122;part_et_coop_institutions_serv;Partenariat et coopération – Institutions – Services de la petite enfance;oui/non;annuel
H123;part_et_coop_institutions_se_1;Partenariat et coopération – Institutions – Services de la petite enfance – estimation de la population touchée;numérique;annuel
H124;part_et_coop_institutions_se_2;Partenariat et coopération – Institutions – Services de l'emploi;oui/non;annuel
H125;part_et_coop_institutions_se_3;Partenariat et coopération – Institutions – Services de l'emploi – Estimation de la population touchée;numérique;annuel
H126;part_et_coop_institutions_autr;Partenariat et coopération – Institutions – Autres;oui/non;annuel
H127;part_et_coop_institutions_au_1;Partenariat et coopération – Institutions – Autres – Estimation de la population touchée;numérique;annuel
H128;part_et_coop_institutions_etab;Partenariat et coopération – Institutions – Établissements médico-sociaux;oui/non;annuel
H129;part_et_coop_institutions_et_1;Partenariat et coopération – Institutions – Établissements médico-sociaux – Estimation de la population touchée;numérique;annuel
H130;part_et_coop_institutions_ec_3;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Écoles – Nombre d’accueils de classes;numérique;annuel
H131;part_et_coop_institutions_co_3;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Collèges – Nombre d’accueils de classes;numérique;annuel
H132;part_et_coop_institutions_ly_3;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Lycées – Nombre d’accueils de classes;numérique;annuel
H202;part_et_coop_equipements_cultu;Partenariat et coopération – Équipements culturels – Musées, centres d'art, ...;oui/non;annuel
H204;part_et_coop_equipements_cul_1;Partenariat et coopération – Équipements culturels – Archives;numérique;annuel
H206;part_et_coop_equipements_cul_2;Partenariat et coopération – Équipements culturels – Conservatoire ou école de musique;oui/non;annuel
H208;part_et_coop_equipements_cul_3;Partenariat et coopération – Équipements culturels – Cinéma;numérique;annuel
H210;part_et_coop_equipements_cul_4;Partenariat et coopération – Équipements culturels – Théâtre;oui/non;annuel
H212;part_et_coop_equipements_cul_5;Partenariat et coopération – Équipements culturels – Salle de spectacle ou troupe de spectacle vivant;numérique;annuel
H214;part_et_coop_equipements_cul_6;Partenariat et coopération – Équipements culturels – Librairie;oui/non;annuel
H216;part_et_coop_equipements_cul_7;Partenariat et coopération – Équipements culturels – Autres;numérique;annuel
H301;part_et_coop_associations_cult;Partenariat et coopération – Structures associatives – Culture;oui/non;annuel
H302;part_et_coop_associations_cu_1;Partenariat et coopération – Structures associatives – Culture – Nombre d'associations;numérique;annuel
H304;part_et_coop_associations_cu_2;Partenariat et coopération – Structures associatives – Culture – dont livre et lecture;oui/non;annuel
H305;part_et_coop_associations_cu_3;Partenariat et coopération – Structures associatives – Culture – dont livre et lecture – Nombre d'associations;numérique;annuel
H307;part_et_coop_associations_autr;Partenariat et coopération – Structures associatives – Autres;oui/non;annuel
H308;part_et_coop_associations_au_1;Partenariat et coopération – Structures associatives – Autres – Nombre d'associations;numérique;annuel
H401;actions_in_situ_expo;Actions au sein de l'établissement – Expositions;oui/non;annuel
H402;actions_in_situ_expo_pour_tous;Actions au sein de l'établissement – Expositions – Pour tous publics;numérique;annuel
H403;actions_in_situ_expo_pour_enfa;Actions au sein de l'établissement – Expositions – Pour enfants;numérique;annuel
H409;actions_in_situ_anim_conferenc;Actions au sein de l'établissement – Animations dont – Conférences, rencontres, lectures;oui/non;annuel
H410;actions_in_situ_anim_confere_1;Actions au sein de l'établissement – Animations dont – Conférences, rencontres, lectures – Pour tous publics;numérique;annuel
H411;actions_in_situ_anim_confere_2;Actions au sein de l'établissement – Animations dont – Conférences, rencontres, lectures – Pour enfants;numérique;annuel
H412;actions_in_situ_anim_confere_3;Actions au sein de l'établissement – Animations dont – Conférences, rencontres, lectures – Population touchée;numérique;annuel
H417;actions_in_situ_anim_seances_d;Actions au sein de l'établissement – Animations dont – Séances de conte;oui/non;annuel
H418;actions_in_situ_anim_seances_1;Actions au sein de l'établissement – Animations dont – Séances de conte – Pour enfants;numérique;annuel
H419;actions_in_situ_anim_seances_2;Actions au sein de l'établissement – Animations dont – Séances de conte – Population touchée;numérique;annuel
H424;actions_in_situ_anim_fetes_sal;Actions au sein de l'établissement – Animations dont – Fêtes, salons du livre, festivals;oui/non;annuel
H425;actions_in_situ_anim_fetes_s_1;Actions au sein de l'établissement – Animations dont – Fêtes, salons du livre, festivals – Pour tous publics;numérique;annuel
H426;actions_in_situ_anim_fetes_s_2;Actions au sein de l'établissement – Animations dont – Fêtes, salons du livre, festivals – Pour enfants;numérique;annuel
H428;actions_in_situ_anim_autres;Actions au sein de l'établissement – Animations dont – Autres;oui/non;annuel
H429;actions_in_situ_anim_autres_po;Actions au sein de l'établissement – Animations dont – Autres – Pour tous publics;numérique;annuel
H430;actions_in_situ_anim_autres__1;Actions au sein de l'établissement – Animations dont – Autres – Pour enfants;numérique;annuel
H436;actions_in_situ_anim_seances_3;Actions au sein de l'établissement – Animations dont – Séances de conte – Pour tous publics;numérique;annuel
H437;concert_oui_non;Concert oui/non;oui/non;annuel
H438;concert_pour_tous_publics;Concert pour tous publics;numérique;annuel
H439;concert_pour_enfants;Concert pour enfants;numérique;annuel
H440;concert_pop_touchee;Concert population touchée;numérique;annuel
H441;projection_oui_non;Projection oui/non;oui/non;annuel
H442;projection_pour_tous_publics;Projection pour tous publics;numérique;annuel
H443;projection_pour_enfants;Projection pour enfants;numérique;annuel
H444;projection_pop_touchee;Projection population touchée;numérique;annuel
H445;clubs_de_lecteurs_oui_non;Clubs de lecteurs oui/non;oui/non;annuel
H446;clubs_de_lecteurs_pour_tous_pu;Clubs de lecteurs pour tous publics;numérique;annuel
H447;clubs_de_lecteurs_pour_enfants;Clubs de lecteurs pour enfants;numérique;annuel
H448;clubs_de_lecteurs_pop_touchee;Clubs de lecteurs population touchée;numérique;annuel
H449;ateliers_ecriture_oui_non;Ateliers d'écriture oui/non;oui/non;annuel
H450;ateliers_ecriture_pour_tous_pu;Ateliers d'écriture pour tous publics;numérique;annuel
H451;ateliers_ecriture_pour_enfants;Ateliers d'écriture pour enfants;numérique;annuel
H452;ateliers_ecriture_pop_touchee;Ateliers d'écriture population touchée;numérique;annuel
H453;jeux_video_sur_place_oui_non;Jeux vidéo sur place oui/non;oui/non;annuel
H454;jeux_video_sur_place_pour_tous;Jeux vidéo sur place pour tous publics;numérique;annuel
H455;jeux_video_sur_place_pour_enfa;Jeux vidéo sur place pour enfants;numérique;annuel
H456;jeux_video_sur_place_pop_touch;Jeux vidéo sur place population touchée;numérique;annuel
H457;jeux_de_societe_sur_place_oui;Jeux de société sur place oui/non;oui/non;annuel
H458;jeux_de_societe_sur_place_pour;Jeux de société sur place pour tous publics;numérique;annuel
H459;jeux_de_societe_sur_place_po_1;Jeux de société sur place pour enfants;numérique;annuel
H460;jeux_de_societe_sur_place_pop;Jeux de société sur place population touchée;numérique;annuel
H461;ateliers_oui_non;Ateliers oui/non;oui/non;annuel
H462;ateliers_pour_tous_publics;Ateliers pour tous publics;numérique;annuel
H463;ateliers_pour_enfants;Ateliers pour enfants;numérique;annuel
H464;ateliers_pop_touchee;Ateliers population touchée;numérique;annuel
H465;mediation_numerique_oui_non;Médiation numérique oui/non;oui/non;annuel
H466;mediation_numerique_pour_tous;Médiation numérique pour tous publics;numérique;annuel
H467;mediation_numerique_pour_enfan;Médiation numérique pour enfants;numérique;annuel
H468;mediation_numerique_pop_touche;Médiation numérique population touchée;numérique;annuel
H469;escape_game_oui_non;Escape Game oui/non;oui/non;annuel
H470;escape_game_pour_tous_publics;Escape Game pour tous publics;numérique;annuel
H471;escape_game_pour_enfants;Escape Game pour enfants;numérique;annuel
H472;escape_game_pop_touchee;Escape Game population touchée;numérique;annuel
H473;formation_tout_au_long_de_la_v;Formation tout au long de la vie oui/non;oui/non;annuel
H474;formation_tout_au_long_de_la_1;Formation tout au long de la vie pour tous publics;numérique;annuel
H475;formation_tout_au_long_de_la_2;Formation tout au long de la vie pour enfants;numérique;annuel
H476;formation_tout_au_long_de_la_3;Formation tout au long de la vie population touchée;numérique;annuel
H477;propositions_en_libre_acces_ou;Propositions en libre accès oui/non;oui/non;annuel
H478;propositions_en_libre_acces_po;Propositions en libre accès pour tous publics;numérique;annuel
H479;propositions_en_libre_acces__1;Propositions en libre accès pour enfants;numérique;annuel
H480;emi_oui_non;EMI oui/non;oui/non;annuel
H481;emi_pour_tous_publics;EMI pour tous publics;numérique;annuel
H482;emi_pour_enfants;EMI pour enfants;numérique;annuel
H483;emi_pop_touchee;EMI population touchée;numérique;annuel
H484;ateliers_participatifs_oui_non;Ateliers participatifs oui/non;oui/non;annuel
H485;ateliers_participatifs_pour_to;Ateliers participatifs pour tous publics;numérique;annuel
H486;ateliers_participatifs_pour_en;Ateliers participatifs pour enfants;numérique;annuel
H501;actions_hors_les_murs_actions;Actions hors de l'établissement – Actions hors les murs;oui/non;annuel
H502;actions_hors_les_murs_action_1;Actions hors de l'établissement – Actions hors les murs – Nombre d'actions;numérique;annuel
H504;actions_hors_les_murs_portage;Actions hors de l'établissement – Portage à domicile;oui/non;annuel
H505;actions_hors_les_murs_portag_1;Actions hors de l'établissement – Portage à domicile – Nombre d’actions;numérique;annuel
H506;actions_hors_les_murs_portag_2;Actions hors de l'établissement – Portage à domicile – Population touchée;numérique;annuel
H601;actions_de_coop_coop_locale;Actions de coopération – Coopération locale;oui/non;annuel
H604;actions_de_coop_coop_nationale;Actions de coopération – Coopération nationale;oui/non;annuel
H607;actions_de_coop_coop_internati;Actions de coopération – Coopération internationale;oui/non;annuel
H611;actions_de_coop_coop_locale_ca;Actions de coopération – Coopération locale – Catalogue commun;oui/non;annuel
H612;actions_de_coop_coop_locale_po;Actions de coopération – Coopération locale – Portail documentaire commun;oui/non;annuel
H613;actions_de_coop_coop_locale__1;Actions de coopération – Coopération locale – Politique documentaire commune;oui/non;annuel
H614;actions_de_coop_coop_locale_na;Actions de coopération – Coopération locale – Navette documentaire;oui/non;annuel
H615;actions_de_coop_coop_locale__2;Actions de coopération – Coopération locale – Carte unique de lecteur;oui/non;annuel
H616;actions_de_coop_coop_locale_au;Actions de coopération – Coopération locale – Autre action de coopération intercommunale;oui/non;annuel
H617;actions_de_coop_coop_locale_ac;Actions de coopération – Coopération locale – Action culturelle commune;oui/non;annuel
H618;coop_intercommunale;Coopération intercommunale;oui/non;annuel
H619;coop_avec_autres_bm_hors_inter;Coopération avec d'autres BM hors interco;oui/non;annuel
H620;coop_avec_la_bd;Coopération avec la BD;oui/non;annuel
H704;actions_handicap;Actions et services à destination de publics à besoins spécifiques – Personnes en situation de handicap;oui/non;annuel
H705;actions_handicap_nb;Actions et services à destination de publics à besoins spécifiques – Personnes en situation de handicap – Nombre d'actions;numérique;annuel
H706;actions_handicap_pop;Actions et services à destination de publics à besoins spécifiques – Personnes en situation de handicap – Population touchée;numérique;annuel
H713;actions_emploi;Actions et services à destination de publics à besoins spécifiques – Personnes en recherche d'emploi;oui/non;annuel
H714;actions_emploi_nb;Actions et services à destination de publics à besoins spécifiques – Personnes en recherche d'emploi – Nombre d'actions;numérique;annuel
H715;actions_emploi_pop;Actions et services à destination de publics à besoins spécifiques – Personnes en recherche d'emploi – Population touchée;numérique;annuel
H716;actions_illettrisme;Actions et services à destination de publics à besoins spécifiques – Personnes en situation illettrisme;oui/non;annuel
H717;actions_illettrisme_nb;Actions et services à destination de publics à besoins spécifiques – Personnes en situation illettrisme – Nombre d'actions;numérique;annuel
H718;actions_illettrisme_pop;Actions et services à destination de publics à besoins spécifiques – Personnes en situation illettrisme – Population touchée;numérique;annuel
H719;actions_non_francophones;Actions et services à destination de publics à besoins spécifiques – Populations non francophones;oui/non;annuel
H720;actions_non_francophones_nb;Actions et services à destination de publics à besoins spécifiques – Populations non francophones – Nombre d'actions;numérique;annuel
H721;actions_non_francophones_pop;Actions et services à destination de publics à besoins spécifiques – Populations non francophones – Population touchée;numérique;annuel
H725;actions_insertion;Actions et services à destination de publics à besoins spécifiques – Population en situation d’insertion sociale;oui/non;annuel
H726;actions_insertion_nb;Actions et services à destination de publics à besoins spécifiques – Population en situation d’insertion sociale – Nombre d'actions;numérique;annuel
