code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
K428;pat_num_musique_imprimee_tot_1;Patrimoine – Numérisation – musique imprimée – total documents numérisés – documents;numérique;annuel
K429;pat_num_musique_imprimee_annee;Patrimoine – Numérisation – musique imprimée – documents numérisés dans l’année – vues;numérique;annuel
K430;pat_num_musique_imprimee_ann_1;Patrimoine – Numérisation – musique imprimée – documents numérisés dans l’année – documents;numérique;annuel
K432;pat_num_docs_graphiques_total;Patrimoine – Numérisation – documents graphiques – total documents numérisés – vues;numérique;annuel
K433;pat_num_docs_graphiques_tota_1;Patrimoine – Numérisation – documents graphiques – total documents numérisés – documents;numérique;annuel
K434;pat_num_docs_graphiques_annee;Patrimoine – Numérisation – documents graphiques – documents numérisés dans l’année – vues;numérique;annuel
K435;pat_num_docs_graphiques_anne_1;Patrimoine – Numérisation – documents graphiques – documents numérisés dans l’année – documents;numérique;annuel
K437;pat_num_objets_total_docs_nume;Patrimoine – Numérisation – objets – total documents numérisés – vues;numérique;annuel
K438;pat_num_objets_total_docs_nu_1;Patrimoine – Numérisation – objets – total documents numérisés – documents;numérique;annuel
K439;pat_num_objets_annee_vues;Patrimoine – Numérisation – objets – documents numérisés dans l’année – vues;numérique;annuel
K440;pat_num_objets_annee_docs;Patrimoine – Numérisation – objets – documents numérisés dans l’année – documents;numérique;annuel
K442;pat_num_docs_sonores_total_doc;Patrimoine – Numérisation – documents sonores – total documents numérisés – documents;numérique;annuel
K443;pat_num_docs_sonores_annee_doc;Patrimoine – Numérisation – documents sonores – documents numérisés dans l’année – documents;numérique;annuel
K445;pat_num_images_animees_total_d;Patrimoine – Numérisation – images animées – total documents numérisés – documents;numérique;annuel
K446;pat_num_images_animees_annee_d;Patrimoine – Numérisation – images animées – documents numérisés dans l’année – documents;numérique;annuel
K502;pat_mise_en_ligne_livres_impr;Patrimoine – Mise en ligne – livres imprimés – total documents mis en ligne – vues;numérique;annuel
K503;pat_mise_en_ligne_livres_imp_1;Patrimoine – Mise en ligne – livres imprimés – total documents mis en ligne – documents;numérique;annuel
K504;pat_mise_en_ligne_livres_imp_2;Patrimoine – Mise en ligne – livres imprimés – documents mis en ligne dans l’année – vues;numérique;annuel
K505;pat_mise_en_ligne_livres_imp_3;Patrimoine – Mise en ligne – livres imprimés – documents mis en ligne dans l’année – documents;numérique;annuel
K507;pat_mise_en_ligne_perios_total;Patrimoine – Mise en ligne – publications en série – total documents mis en ligne – vues;numérique;annuel
K508;pat_mise_en_ligne_perios_tot_1;Patrimoine – Mise en ligne – publications en série – total documents mis en ligne – documents;numérique;annuel
K509;pat_mise_en_ligne_perios_annee;Patrimoine – Mise en ligne – publications en série – documents mis en ligne dans l’année – vues;numérique;annuel
K510;pat_mise_en_ligne_perios_ann_1;Patrimoine – Mise en ligne – publications en série – documents mis en ligne dans l’année – documents;numérique;annuel
K512;pat_mise_en_ligne_mss_total_do;Patrimoine – Mise en ligne – manuscrits – total documents mis en ligne – vues;numérique;annuel
K513;pat_mise_en_ligne_mss_total__1;Patrimoine – Mise en ligne – manuscrits – total documents mis en ligne – documents;numérique;annuel
K514;pat_mise_en_ligne_mss_annee_vu;Patrimoine – Mise en ligne – manuscrits – documents mis en ligne dans l’année – vues;numérique;annuel
K515;pat_mise_en_ligne_mss_annee_do;Patrimoine – Mise en ligne – manuscrits – documents mis en ligne dans l’année – documents;numérique;annuel
K517;pat_mise_en_ligne_docs_darchiv;Patrimoine – Mise en ligne – documents d’archives – total documents mis en ligne – vues;numérique;annuel
K518;pat_mise_en_ligne_docs_darch_1;Patrimoine – Mise en ligne – documents d’archives – total documents mis en ligne – documents;numérique;annuel
K519;pat_mise_en_ligne_docs_darch_2;Patrimoine – Mise en ligne – documents d’archives – documents mis en ligne dans l’année – vues;numérique;annuel
K520;pat_mise_en_ligne_docs_darch_3;Patrimoine – Mise en ligne – documents d’archives – documents mis en ligne dans l’année – documents;numérique;annuel
K522;pat_mise_en_ligne_cartes_total;Patrimoine – Mise en ligne – cartes – total documents mis en ligne – vues;numérique;annuel
K523;pat_mise_en_ligne_cartes_tot_1;Patrimoine – Mise en ligne – cartes – total documents mis en ligne – documents;numérique;annuel
K524;pat_mise_en_ligne_cartes_annee;Patrimoine – Mise en ligne – cartes – documents mis en ligne dans l’année – vues;numérique;annuel
K525;pat_mise_en_ligne_cartes_ann_1;Patrimoine – Mise en ligne – cartes – documents mis en ligne dans l’année – documents;numérique;annuel
K527;pat_mise_en_ligne_musique_impr;Patrimoine – Mise en ligne – musique imprimée – total documents mis en ligne – vues;numérique;annuel
K528;pat_mise_en_ligne_musique_im_1;Patrimoine – Mise en ligne – musique imprimée – total documents mis en ligne – documents;numérique;annuel
K529;pat_mise_en_ligne_musique_im_2;Patrimoine – Mise en ligne – musique imprimée – documents mis en ligne dans l’année – vues;numérique;annuel
K530;pat_mise_en_ligne_musique_im_3;Patrimoine – Mise en ligne – musique imprimée – documents mis en ligne dans l’année – documents;numérique;annuel
